t,d01_err,d02_err,d12_err,o_error,o_error_deg
0.02,0.4180,0.7142,0.8000,1.1180,26.57
0.04,0.4180,0.7142,0.8000,1.1180,26.57
0.06,0.4180,0.7142,0.8000,1.1180,26.57
0.08,0.4180,0.7142,0.8000,1.1180,26.57
0.10,0.4180,0.7142,0.8000,1.1180,26.57
0.12,0.4180,0.7142,0.8000,1.1180,26.57
0.14,0.4180,0.7142,0.8000,1.1180,26.57
0.16,0.4180,0.7142,0.8000,1.1180,26.57
0.18,0.4180,0.7142,0.8000,1.1180,26.57
0.20,0.4180,0.7142,0.8000,1.1180,26.57
0.22,0.4180,0.7142,0.8000,1.1180,26.57
0.24,0.4180,0.7142,0.8000,1.1180,26.57
0.26,0.4180,0.7142,0.8000,1.1180,26.57
0.28,0.4180,0.7142,0.8000,1.1180,26.57
0.30,0.4180,0.7142,0.8000,1.1180,26.57
0.32,0.4180,0.7142,0.8000,1.1180,26.57
0.34,0.4180,0.7142,0.8000,1.1180,26.57
0.36,0.4180,0.7142,0.8000,1.1180,26.57
0.38,0.4180,0.7142,0.8000,1.1180,26.57
0.40,0.4180,0.7142,0.8000,1.1180,26.57
0.42,0.4180,0.7142,0.8000,1.1180,26.57
0.44,0.4180,0.7142,0.8000,1.1180,26.57
0.46,0.4180,0.7142,0.8000,1.1180,26.57
0.48,0.4180,0.7142,0.8000,1.1180,26.57
0.50,0.4180,0.7142,0.8000,1.1180,26.57
0.52,0.4180,0.7142,0.8000,1.1180,26.57
0.54,0.4180,0.7142,0.8000,1.1180,26.57
0.56,0.4180,0.7142,0.8000,1.1180,26.57
0.58,0.4180,0.7142,0.8000,1.1180,26.57
0.60,0.4180,0.7142,0.8000,1.1180,26.57
0.62,0.4180,0.7142,0.8000,1.1180,26.57
0.64,0.4180,0.7142,0.8000,1.1180,26.57
0.66,0.4180,0.7142,0.8000,1.1180,26.57
0.68,0.4180,0.7142,0.8000,1.1180,26.57
0.70,0.4180,0.7142,0.8000,1.1180,26.57
0.72,0.4180,0.7142,0.8000,1.1180,26.57
0.74,0.4180,0.7142,0.8000,1.1180,26.57
0.76,0.4180,0.7142,0.8000,1.1180,26.57
0.78,0.4180,0.7142,0.8000,1.1180,26.57
0.80,0.4180,0.7142,0.8000,1.1180,26.57
0.82,0.4180,0.7142,0.8000,1.1180,26.57
0.84,0.4180,0.7142,0.8000,1.1180,26.57
0.86,0.4180,0.7142,0.8000,1.1180,26.57
0.88,0.4180,0.7142,0.8000,1.1180,26.57
0.90,0.4180,0.7142,0.8000,1.1180,26.57
0.92,0.4180,0.7142,0.8000,1.1180,26.57
0.94,0.4180,0.7142,0.8000,1.1180,26.57
0.96,0.4180,0.7142,0.8000,1.1180,26.57
0.98,0.4180,0.7142,0.8000,1.1180,26.57
1.00,0.4180,0.7142,0.8000,1.1180,26.57
1.02,0.4180,0.7142,0.8000,1.1180,26.57
1.04,0.4180,0.7142,0.8000,1.1180,26.57
1.06,0.4180,0.7142,0.8000,1.1180,26.57
1.08,0.4180,0.7142,0.8000,1.1180,26.57
1.10,0.4180,0.7142,0.8000,1.1180,26.57
1.12,0.4180,0.7142,0.8000,1.1180,26.57
1.14,0.4180,0.7142,0.8000,1.1180,26.57
1.16,0.4180,0.7142,0.8000,1.1180,26.57
1.18,0.4180,0.7142,0.8000,1.1180,26.57
1.20,0.4180,0.7142,0.8000,1.1180,26.57
1.22,0.4180,0.7142,0.8000,1.1180,26.57
1.24,0.4180,0.7142,0.8000,1.1180,26.57
1.26,0.4180,0.7142,0.8000,1.1180,26.57
1.28,0.4180,0.7142,0.8000,1.1180,26.57
1.30,0.4180,0.7142,0.8000,1.1180,26.57
1.32,0.4180,0.7142,0.8000,1.1180,26.57
1.34,0.4180,0.7142,0.8000,1.1180,26.57
1.36,0.4180,0.7142,0.8000,1.1180,26.57
1.38,0.4180,0.7142,0.8000,1.1180,26.57
1.40,0.4180,0.7142,0.8000,1.1180,26.57
1.42,0.4180,0.7142,0.8000,1.1180,26.57
1.44,0.4180,0.7142,0.8000,1.1180,26.57
1.46,0.4180,0.7142,0.8000,1.1180,26.57
1.48,0.4180,0.7142,0.8000,1.1180,26.57
1.50,0.4180,0.7142,0.8000,1.1180,26.57
1.52,0.4180,0.7142,0.8000,1.1180,26.57
1.54,0.4180,0.7142,0.8000,1.1180,26.57
1.56,0.4180,0.7142,0.8000,1.1180,26.57
1.58,0.4180,0.7142,0.8000,1.1180,26.57
1.60,0.4180,0.7142,0.8000,1.1180,26.57
1.62,0.4180,0.7142,0.8000,1.1180,26.57
1.64,0.4180,0.7142,0.8000,1.1180,26.57
1.66,0.4180,0.7142,0.8000,1.1180,26.57
1.68,0.4180,0.7142,0.8000,1.1180,26.57
1.70,0.4180,0.7142,0.8000,1.1180,26.57
1.72,0.4180,0.7142,0.8000,1.1180,26.57
1.74,0.4180,0.7142,0.8000,1.1180,26.57
1.76,0.4180,0.7142,0.8000,1.1180,26.57
1.78,0.4180,0.7142,0.8000,1.1180,26.57
1.80,0.4180,0.7142,0.8000,1.1180,26.57
1.82,0.4180,0.7142,0.8000,1.1180,26.57
1.84,0.4180,0.7142,0.8000,1.1180,26.57
1.86,0.4180,0.7142,0.8000,1.1180,26.57
1.88,0.4180,0.7142,0.8000,1.1180,26.57
1.90,0.4180,0.7142,0.8000,1.1180,26.57
1.92,0.4180,0.7142,0.8000,1.1180,26.57
1.94,0.4180,0.7142,0.8000,1.1180,26.57
1.96,0.4180,0.7142,0.8000,1.1180,26.57
1.98,0.4180,0.7142,0.8000,1.1180,26.57
2.00,0.4180,0.7142,0.8000,1.1180,26.57
2.02,0.4180,0.7142,0.8000,1.1180,26.57
2.04,0.4180,0.7142,0.8000,1.1180,26.57
2.06,0.4180,0.7142,0.8000,1.1180,26.57
2.08,0.4180,0.7142,0.8000,1.1180,26.57
2.10,0.4180,0.7142,0.8000,1.1180,26.57
2.12,0.4180,0.7142,0.8000,1.1180,26.57
2.14,0.4180,0.7142,0.8000,1.1180,26.57
2.16,0.4180,0.7142,0.8000,1.1180,26.57
2.18,0.4180,0.7142,0.8000,1.1180,26.57
2.20,0.4180,0.7142,0.8000,1.1180,26.57
2.22,0.4180,0.7142,0.8000,1.1180,26.57
2.24,0.4180,0.7142,0.8000,1.1180,26.57
2.26,0.4180,0.7142,0.8000,1.1180,26.57
2.28,0.4180,0.7142,0.8000,1.1180,26.57
2.30,0.4180,0.7142,0.8000,1.1180,26.57
2.32,0.4180,0.7142,0.8000,1.1180,26.57
2.34,0.4180,0.7142,0.8000,1.1180,26.57
2.36,0.4180,0.7142,0.8000,1.1180,26.57
2.38,0.4180,0.7142,0.8000,1.1180,26.57
2.40,0.4180,0.7142,0.8000,1.1180,26.57
2.42,0.4180,0.7142,0.8000,1.1180,26.57
2.44,0.4180,0.7142,0.8000,1.1180,26.57
2.46,0.4180,0.7142,0.8000,1.1180,26.57
2.48,0.4180,0.7142,0.8000,1.1180,26.57
2.50,0.4180,0.7142,0.8000,1.1180,26.57
2.52,0.4180,0.7142,0.8000,1.1180,26.57
2.54,0.4180,0.7142,0.8000,1.1180,26.57
2.56,0.4180,0.7142,0.8000,1.1180,26.57
2.58,0.4180,0.7142,0.8000,1.1180,26.57
2.60,0.4180,0.7142,0.8000,1.1180,26.57
2.62,0.4180,0.7142,0.8000,1.1180,26.57
2.64,0.4180,0.7142,0.8000,1.1180,26.57
2.66,0.4180,0.7142,0.8000,1.1180,26.57
2.68,0.4180,0.7142,0.8000,1.1180,26.57
2.70,0.4180,0.7142,0.8000,1.1180,26.57
2.72,0.4180,0.7142,0.8000,1.1180,26.57
2.74,0.4180,0.7142,0.8000,1.1180,26.57
2.76,0.4180,0.7142,0.8000,1.1180,26.57
2.78,0.4180,0.7142,0.8000,1.1180,26.57
2.80,0.4180,0.7142,0.8000,1.1180,26.57
2.82,0.4180,0.7142,0.8000,1.1180,26.57
2.84,0.4180,0.7142,0.8000,1.1180,26.57
2.86,0.4180,0.7142,0.8000,1.1180,26.57
2.88,0.4180,0.7142,0.8000,1.1180,26.57
2.90,0.4180,0.7142,0.8000,1.1180,26.57
2.92,0.4180,0.7142,0.8000,1.1180,26.57
2.94,0.4180,0.7142,0.8000,1.1180,26.57
2.96,0.4180,0.7142,0.8000,1.1180,26.57
2.98,0.4180,0.7142,0.8000,1.1180,26.57
3.00,0.4180,0.7142,0.8000,1.1180,26.57
3.02,0.4180,0.7142,0.8000,1.1180,26.57
3.04,0.4180,0.7142,0.8000,1.1180,26.57
3.06,0.4180,0.7142,0.8000,1.1180,26.57
3.08,0.4180,0.7142,0.8000,1.1180,26.57
3.10,0.4180,0.7142,0.8000,1.1180,26.57
3.12,0.4180,0.7142,0.8000,1.1180,26.57
3.14,0.4180,0.7142,0.8000,1.1180,26.57
3.16,0.4180,0.7142,0.8000,1.1180,26.57
3.18,0.4180,0.7142,0.8000,1.1180,26.57
3.20,0.4180,0.7142,0.8000,1.1180,26.57
3.22,0.4180,0.7142,0.8000,1.1180,26.57
3.24,0.4180,0.7142,0.8000,1.1180,26.57
3.26,0.4180,0.7142,0.8000,1.1180,26.57
3.28,0.4180,0.7142,0.8000,1.1180,26.57
3.30,0.4180,0.7142,0.8000,1.1180,26.57
3.32,0.4180,0.7142,0.8000,1.1180,26.57
3.34,0.4180,0.7142,0.8000,1.1180,26.57
